Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,275.1,-84.9375,270,bottom
C2,0.1uF,C_0805_2012Metric,262.89,-67.437,180,bottom
C3,0.1uF,C_0805_2012Metric,258.064,-67.437,0,bottom
C4,10uF,C_0805_2012Metric,245,-77.8,90,bottom
C5,22pF,C_0805_2012Metric,259.1435,-95.1865,270,bottom
C6,22pF,C_0805_2012Metric,265.684,-95.1865,90,bottom
C7,1uF,C_0805_2012Metric,268.224,-72.39,180,bottom
D1,SOD-123,D_SOD-123,17.4625,-50.8,90,bottom
D2,SOD-123,D_SOD-123,36.5125,-50.8,90,bottom
D3,SOD-123,D_SOD-123,55.5625,-50.8,90,bottom
D4,SOD-123,D_SOD-123,74.6125,-50.8,90,bottom
D5,SOD-123,D_SOD-123,93.6625,-50.8,90,bottom
D6,SOD-123,D_SOD-123,112.7125,-50.8,90,bottom
D7,SOD-123,D_SOD-123,131.7625,-50.8,90,bottom
D8,SOD-123,D_SOD-123,150.8125,-50.8,90,bottom
D9,SOD-123,D_SOD-123,169.8625,-50.8,90,bottom
D10,SOD-123,D_SOD-123,188.9125,-50.8,90,bottom
D11,SOD-123,D_SOD-123,207.9625,-50.8,90,bottom
D12,SOD-123,D_SOD-123,227.0125,-50.8,90,bottom
D13,SOD-123,D_SOD-123,246.0625,-50.8,90,bottom
D14,SOD-123,D_SOD-123,265.1125,-50.8,90,bottom
D15,SOD-123,D_SOD-123,268.2875,-50.8,90,bottom
D16,SOD-123,D_SOD-123,6.35,-69.85,90,bottom
D17,SOD-123,D_SOD-123,46.0375,-69.85,90,bottom
D18,SOD-123,D_SOD-123,65.0875,-69.85,90,bottom
D19,SOD-123,D_SOD-123,84.1375,-69.85,90,bottom
D20,SOD-123,D_SOD-123,103.1875,-69.85,90,bottom
D21,SOD-123,D_SOD-123,122.2375,-69.85,90,bottom
D22,SOD-123,D_SOD-123,141.2875,-69.85,90,bottom
D23,SOD-123,D_SOD-123,160.3375,-69.85,90,bottom
D24,SOD-123,D_SOD-123,179.3875,-69.85,90,bottom
D25,SOD-123,D_SOD-123,198.4375,-69.85,90,bottom
D26,SOD-123,D_SOD-123,217.4875,-69.85,90,bottom
D27,SOD-123,D_SOD-123,236.5375,-69.85,90,bottom
D28,SOD-123,D_SOD-123,239.7125,-69.85,90,bottom
D29,SOD-123,D_SOD-123,266.7,-55.118,0,bottom
D30,SOD-123,D_SOD-123,8.73125,-88.9,90,bottom
D31,SOD-123,D_SOD-123,50.8,-88.9,90,bottom
D32,SOD-123,D_SOD-123,69.85,-88.9,90,bottom
D33,SOD-123,D_SOD-123,88.9,-88.9,90,bottom
D34,SOD-123,D_SOD-123,107.95,-88.9,90,bottom
D35,SOD-123,D_SOD-123,127,-88.9,90,bottom
D36,SOD-123,D_SOD-123,146.05,-88.9,90,bottom
D37,SOD-123,D_SOD-123,165.1,-88.9,90,bottom
D38,SOD-123,D_SOD-123,184.15,-88.9,90,bottom
D39,SOD-123,D_SOD-123,203.2,-88.9,90,bottom
D40,SOD-123,D_SOD-123,222.25,-88.9,90,bottom
D41,SOD-123,D_SOD-123,225.425,-88.9,90,bottom
D42,SOD-123,D_SOD-123,272.25625,-88.9,90,bottom
D43,SOD-123,D_SOD-123,13.49375,-108.0125,90,bottom
D44,SOD-123,D_SOD-123,60.325,-107.95,90,bottom
D45,SOD-123,D_SOD-123,79.375,-107.95,90,bottom
D46,SOD-123,D_SOD-123,98.425,-107.95,90,bottom
D47,SOD-123,D_SOD-123,117.475,-107.95,90,bottom
D48,SOD-123,D_SOD-123,136.525,-107.95,90,bottom
D49,SOD-123,D_SOD-123,155.575,-107.95,90,bottom
D50,SOD-123,D_SOD-123,174.625,-107.95,90,bottom
D51,SOD-123,D_SOD-123,193.675,-107.95,90,bottom
D52,SOD-123,D_SOD-123,212.725,-107.95,90,bottom
D53,SOD-123,D_SOD-123,231.775,-107.95,90,bottom
D54,SOD-123,D_SOD-123,257.96875,-107.95,90,bottom
D55,SOD-123,D_SOD-123,268.2875,-107.95,90,bottom
D56,SOD-123,D_SOD-123,46.0375,-114.3,270,bottom
D57,SOD-123,D_SOD-123,69.85,-114.3,270,bottom
D58,SOD-123,D_SOD-123,112.7125,-114.3,270,bottom
D59,SOD-123,D_SOD-123,150.8125,-114.3,270,bottom
D60,SOD-123,D_SOD-123,188.9125,-114.3,270,bottom
D61,SOD-123,D_SOD-123,230.98125,-114.3,270,bottom
D62,SOD-123,D_SOD-123,239.7125,-114.3,270,bottom
F1,500mA,Fuse_1206_3216Metric,241.3,-82.55,180,bottom
J1,Conn_01x04,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,229.39375,-77.7875,90,bottom
R1,22,R_0805_2012Metric,241.3,-79.375,180,bottom
R2,22,R_0805_2012Metric,241.3,-76.2,180,bottom
R3,10k,R_0805_2012Metric,277.5,-84.9375,270,bottom
R4,10k,R_0805_2012Metric,255.143,-68.199,270,bottom
SW1,SW_Push,SKQG-1155865,262.128,-59.6265,180,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,260.985,-73.914,180,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,262.425,-95.162,0,bottom
